patent_id,Cluster
755421,0
647502,0
1201082,0
688373,0
1024286,0
1233756,0
1080621,0
978978,0
361573,0
1252077,0
864932,0
615831,0
1361473,0
752696,0
1297459,0
787567,0
782595,0
81305,0
988489,0
223032,0
244510,0
1310602,0
201646,0
348129,0
805039,0
504440,0
420284,0
471928,0
1113078,0
523941,0
992901,0
293901,0
1090202,0
514004,0
598669,0
686119,0
488198,0
416161,0
1299047,0
1241947,0
890870,0
437370,0
1044134,0
1267824,0
874764,0
1145558,0
412550,0
1355862,0
295102,0
571949,0
445346,0
1297779,0
658070,0
595863,0
995355,0
279182,0
1299032,0
1370556,0
1140352,0
1190809,0
182388,0
1233462,0
407613,0
1338245,0
259827,0
1120023,0
1205555,0
1147228,0
691502,0
763220,0
1223900,0
1106782,0
899584,0
259024,0
429263,0
327767,0
113606,0
1013656,0
461964,0
531136,0
260821,0
1105746,0
1260629,0
860995,0
1198814,0
301293,0
519470,0
512752,0
123909,0
135567,0
412089,0
269811,0
1358444,0
308531,0
321761,0
1289921,0
928999,0
1337765,0
187970,0
525854,0
735355,0
477800,0
724227,0
1246163,0
826724,0
730122,0
532371,0
1072275,0
444595,0
822298,0
1149591,0
808470,0
547936,0
1273640,0
523254,0
1173889,0
1093969,0
837167,0
320506,0
691338,0
355656,0
920309,0
1336446,0
927406,0
347252,0
454075,0
1039331,0
801263,0
461701,0
1215314,0
796165,0
691178,0
265854,0
217698,0
1232312,0
1216837,0
647270,0
479332,0
1065139,0
916354,0
200833,0
867908,0
1206368,0
